index,message,reply
0,Are you a fan of Google or Microsoft?,Both are excellent technology they are helpful in many ways. For the security purpose both are super.
1,Both are excellent technology they are helpful in many ways. For the security purpose both are super.,"I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. "
2,"I'm not  a huge fan of Google, but I use it a lot because I have to. I think they are a monopoly in some sense. ","Google provides online related services and products, which includes online ads, search engine and cloud computing."
3,"Google provides online related services and products, which includes online ads, search engine and cloud computing.","Yeah, their services are good. I'm just not a fan of intrusive they can be on our personal lives. "
4,"Yeah, their services are good. I'm just not a fan of intrusive they can be on our personal lives. ",Google is leading the alphabet subsidiary and will continue to be the Umbrella company for Alphabet internet interest.
5,Google is leading the alphabet subsidiary and will continue to be the Umbrella company for Alphabet internet interest.,"Did you know Google had hundreds of live goats to cut the grass in the past? 
"
6,"Did you know Google had hundreds of live goats to cut the grass in the past? 
","It is very interesting. Google provide ""Chrome OS"" which is a light weight OS. Google provided a lot of hardware mainly in 2010 to 2015. "
7,"It is very interesting. Google provide ""Chrome OS"" which is a light weight OS. Google provided a lot of hardware mainly in 2010 to 2015. ",I like Google Chrome. Do you use it as well for your browser? 
8,I like Google Chrome. Do you use it as well for your browser? ,"Yes.Google is the biggest search engine and Google service figure out top 100 website, including Youtube and Blogger."
9,"Yes.Google is the biggest search engine and Google service figure out top 100 website, including Youtube and Blogger.","By the way, do you like Fish? "
10,"By the way, do you like Fish? ",Yes. They form a sister group of tourniquets- they make the sea water clean and remove the dust from it. Fish is the biggest part in the eco-system.
11,Yes. They form a sister group of tourniquets- they make the sea water clean and remove the dust from it. Fish is the biggest part in the eco-system.,Did you know that a seahorse is the only fish to have a neck? 
12,Did you know that a seahorse is the only fish to have a neck? ,"Freshwater fish only drink water through the skin via Osmosis, Saltwater fish drink water through the mouth. Dolphins are friendly to human beings."
13,"Freshwater fish only drink water through the skin via Osmosis, Saltwater fish drink water through the mouth. Dolphins are friendly to human beings.","Interesting, they also have gills. Did you know that jellyfish are immortal? "
14,"Interesting, they also have gills. Did you know that jellyfish are immortal? ",Yes. Fish is the important resources of human world wide for the commercial and subsistence fish hunts the fish in the wild fisheries.
15,Yes. Fish is the important resources of human world wide for the commercial and subsistence fish hunts the fish in the wild fisheries.,"What about cats, do you like cats? I'm a dog fan myself. "
16,"What about cats, do you like cats? I'm a dog fan myself. ",The cat is referred as domestic cat and wild cat. They make our world very clean from rats! 
17,The cat is referred as domestic cat and wild cat. They make our world very clean from rats! ,"Yeah, cats can be cool, but they sure do spend a lot of their time sleeping. "
18,"Yeah, cats can be cool, but they sure do spend a lot of their time sleeping. ",Cats hear the sounds too faint or too high frequency human ears can hear. 
19,Cats hear the sounds too faint or too high frequency human ears can hear. ,"I heard that too. Well, it was nice chatting with you. Have a good day. "
20,"I heard that too. Well, it was nice chatting with you. Have a good day. ",do you like dance?
21,do you like dance?,Yes  I do. Did you know Bruce Lee was a cha cha dancer?
22,Yes  I do. Did you know Bruce Lee was a cha cha dancer?,Yes he even won a hardcore cha cha championship in 1958
23,Yes he even won a hardcore cha cha championship in 1958,Yeah. Did you know Tupac was a ballet dancer?
24,Yeah. Did you know Tupac was a ballet dancer?,Yes and he even was in the production of the nutcracker
25,Yes and he even was in the production of the nutcracker,Yeah. Ballet dancer go through 4 pairs of shoes a week
26,Yeah. Ballet dancer go through 4 pairs of shoes a week,Yes that is a lot of shoes and also a lot of money
27,Yes that is a lot of shoes and also a lot of money,Yeah true. Did you know babies are really good at dancing?
28,Yeah true. Did you know babies are really good at dancing?,Yes and they smile more when they hit the beat
29,Yes and they smile more when they hit the beat,Yeah they are much smarter than we give them credit for
30,Yeah they are much smarter than we give them credit for,True Did you know Jackson had a patent on a dancing device?
31,True Did you know Jackson had a patent on a dancing device?,Yes it helped him smooth out his dance moves
32,Yes it helped him smooth out his dance moves,Nice. Do you like Shakespeare?
33,Nice. Do you like Shakespeare?,Yes I do. Do you know that he popularized many phrases
34,Yes I do. Do you know that he popularized many phrases,"Yes like good riddance, in my heart of hearts and such"
35,"Yes like good riddance, in my heart of hearts and such","Yes and then he also invented names like Jessica, Olivia and Miranda"
36,"Yes and then he also invented names like Jessica, Olivia and Miranda",Yes. And for his works you have to use old english for it to make sense
37,Yes. And for his works you have to use old english for it to make sense,Yes otherwise the rhymes and puns do not seem to work out
38,Yes otherwise the rhymes and puns do not seem to work out,Yes. He lived at the same time as Pocahontas too
39,Yes. He lived at the same time as Pocahontas too,I wonder if they met how that would go from there
40,I wonder if they met how that would go from there,Yeah interesting point. Nice chat
41,Yeah interesting point. Nice chat,Hey what's up do use Google very often?I really love the company and was surprised to hear that it was founded back in 1998.
42,Hey what's up do use Google very often?I really love the company and was surprised to hear that it was founded back in 1998.,i think everyone must use it daily! its become ingrained in every day life
43,i think everyone must use it daily! its become ingrained in every day life,Agreed. The Google headquarters in Mountain View California is nicknamed the Google Plex.
44,Agreed. The Google headquarters in Mountain View California is nicknamed the Google Plex.,"thats funny. The current CEO is Sundar Pichai, i didnt know Larry Page was replaced"
45,"thats funny. The current CEO is Sundar Pichai, i didnt know Larry Page was replaced",Oh yeah I didn't know that either. I also want to go to google Plex to see the goats who mow their lawn by eating it.
46,Oh yeah I didn't know that either. I also want to go to google Plex to see the goats who mow their lawn by eating it.,say what now?? they have that??
47,say what now?? they have that??,Yeah apparently lol! They do that instead of hiring people to mow!
48,Yeah apparently lol! They do that instead of hiring people to mow!,thats both funny and i guess imaginative. leave it to a huge tech company to employ actual goats!
49,thats both funny and i guess imaginative. leave it to a huge tech company to employ actual goats!,Yeah exactly I am sure they are cheaper. One thing I bet they couldn't exploit is fish. I think fish are so cool there is actually a breed of jellyfish that is immortal.
50,Yeah exactly I am sure they are cheaper. One thing I bet they couldn't exploit is fish. I think fish are so cool there is actually a breed of jellyfish that is immortal.,i had rememered hearing about that before. Immortatlity is wasted on a jellyfish haha. did you know a seahorse is the only fish that has an actual neck?
51,i had rememered hearing about that before. Immortatlity is wasted on a jellyfish haha. did you know a seahorse is the only fish that has an actual neck?,That is so funny I guess I never considered a seahorse a fish. The black swallower fish sounds a lot like a snake because it can eat pray that is so large.
52,That is so funny I guess I never considered a seahorse a fish. The black swallower fish sounds a lot like a snake because it can eat pray that is so large.,i guess they live up to their name then!
53,i guess they live up to their name then!,It seems they do. I also didn't know that there was a difference with how freshwater and saltwater fish drink.
54,It seems they do. I also didn't know that there was a difference with how freshwater and saltwater fish drink.,thats crazy. i wonder why fresh water ones only use osmosis? 
55,thats crazy. i wonder why fresh water ones only use osmosis? ,Yeah and saltwater fish are lucky because they can do that and drink through their mouth's.
56,Yeah and saltwater fish are lucky because they can do that and drink through their mouth's.,seems like fresh water fish got the short end of the stick with that one. Have you ever been to a cat cafe?
57,seems like fresh water fish got the short end of the stick with that one. Have you ever been to a cat cafe?,"I have never been to a cat cafe no, what about you? Seems like they are popular in Japan and Taiwan."
58,"I have never been to a cat cafe no, what about you? Seems like they are popular in Japan and Taiwan.",no but I would love to! paying hourly to hang out with adorable cats? im in!
59,no but I would love to! paying hourly to hang out with adorable cats? im in!,Yeah that would be a lot of fun. I didn't realize that cats sleep so much. Must be nice.
60,Yeah that would be a lot of fun. I didn't realize that cats sleep so much. Must be nice.,"i guess thats where the phrase ""cat nap"" comes from"
61,"i guess thats where the phrase ""cat nap"" comes from",Oh yeah I guess so ha ha. There's even a town in Alaska that has a mayor cat.
62,Oh yeah I guess so ha ha. There's even a town in Alaska that has a mayor cat.,Hi!  do you like to dance?
63,Hi!  do you like to dance?,I love to dance a lot. How about you?
64,I love to dance a lot. How about you?,"I am really bad, but it is a good time."
65,"I am really bad, but it is a good time.",Dancing is a lot of fun. Did you know that Bruce Lee was a great dancer?
66,Dancing is a lot of fun. Did you know that Bruce Lee was a great dancer?,"I heard that, winning Cha Cha championships and everything!"
67,"I heard that, winning Cha Cha championships and everything!",Yes that is amazing. He won the Hong Kong cha-cha championship back in 1958 in fact.
68,Yes that is amazing. He won the Hong Kong cha-cha championship back in 1958 in fact.,I always just thought of him as a martial arts legend.  Now he is a dance legend of sorts too!
69,I always just thought of him as a martial arts legend.  Now he is a dance legend of sorts too!,Yeah!! That is correct. He was a fantastic martial artist. Did you know that Tupac danced ballet in high school?
70,Yeah!! That is correct. He was a fantastic martial artist. Did you know that Tupac danced ballet in high school?,"Yeah!  He was the mouse king in the Nutcracker.  Thats pretty cool, I would definitely never have guessed that about him."
71,"Yeah!  He was the mouse king in the Nutcracker.  Thats pretty cool, I would definitely never have guessed that about him.",Neither did I. That is insane because Tupac was a famous rapper. 
72,Neither did I. That is insane because Tupac was a famous rapper. ,"He was indeed, his music is even in the library of congress."
73,"He was indeed, his music is even in the library of congress.",I didn't know this thanks for sharing.
74,I didn't know this thanks for sharing.,Sure thing!  Did you hear about Michael Jackson's special patent shoes?
75,Sure thing!  Did you hear about Michael Jackson's special patent shoes?,No. I know that Michael Jackson was a fantastic dancer but can you tell me more about his patent shoes if you don't mind.
76,No. I know that Michael Jackson was a fantastic dancer but can you tell me more about his patent shoes if you don't mind.,There was a specific device in his shoes that helped with his extreme lean in some dance moves.
77,There was a specific device in his shoes that helped with his extreme lean in some dance moves.,Wow!!! That is amazing coming from such a talented singer and dancer. I couldn't even dance like that even if I dreamed of it.
78,Wow!!! That is amazing coming from such a talented singer and dancer. I couldn't even dance like that even if I dreamed of it.,Me neither. I could never be a professional dancer.
79,Me neither. I could never be a professional dancer.,I heard that some professional ballet dancer can go through four pairs of shoes in a week.
80,I heard that some professional ballet dancer can go through four pairs of shoes in a week.,That is crazy!  That can't be cheap for them.
81,That is crazy!  That can't be cheap for them.,No. I think its very expensive for them to be professional ballet dancers based on this.
82,No. I think its very expensive for them to be professional ballet dancers based on this.,"It has been great chatting but I must go!  Gotta go get my Bruce Lee on, the martial arts part...  definitely not the dance."
83,"It has been great chatting but I must go!  Gotta go get my Bruce Lee on, the martial arts part...  definitely not the dance.",Ha Ha!!! It was so nice chatting with you as well!! Have a nice day!!! Bye
84,Ha Ha!!! It was so nice chatting with you as well!! Have a nice day!!! Bye,Bye
85,Bye,do you like dance?
86,do you like dance?,I love it. Did you know Bruce Lee was a dancer?
87,I love it. Did you know Bruce Lee was a dancer?,Yes he even won a cha cha championship in 1958
88,Yes he even won a cha cha championship in 1958,Yeah. Did you know ballet dancers use a lot of shoes?
89,Yeah. Did you know ballet dancers use a lot of shoes?,Yes they go through 4 pairs in a single week
90,Yes they go through 4 pairs in a single week,Yeah that is a lot of shoes and also a lot of money
91,Yeah that is a lot of shoes and also a lot of money,Yeah. Babies are also really good at dancing when they hear music
92,Yeah. Babies are also really good at dancing when they hear music,Yes and they smile more when they hit the beat
93,Yes and they smile more when they hit the beat,Yeah pretty cute. Did you know Tupac was a ballet dancer?
94,Yeah pretty cute. Did you know Tupac was a ballet dancer?,Yes he was in the nutcracker as the mouse king
95,Yes he was in the nutcracker as the mouse king,Yeah. DO you like SHakespeare?
96,Yeah. DO you like SHakespeare?,I love his work. Did you know he popularized many terms that we use to this day?
97,I love his work. Did you know he popularized many terms that we use to this day?,"Yes terms like, good riddance, in my heart of heart and such"
98,"Yes terms like, good riddance, in my heart of heart and such",Yes. He lives at the same time as Pocahontas did
99,Yes. He lives at the same time as Pocahontas did,I wonder if they had met what he would have written about her.
100,I wonder if they had met what he would have written about her.,Yeah good point. He also invented some women's names
101,Yeah good point. He also invented some women's names,"Yes among those are Olivia, Miranda and Jessica"
102,"Yes among those are Olivia, Miranda and Jessica",Yeah. Did you know that his works have to stick to the old english language to make sense?
103,Yeah. Did you know that his works have to stick to the old english language to make sense?,"Yes especially with punk and rhymes, they do not work with modern language"
104,"Yes especially with punk and rhymes, they do not work with modern language",Yeah. Did you know Tchaikozsky donated his skull in hopes it will be used in Shakespeare's plays?
105,Yeah. Did you know Tchaikozsky donated his skull in hopes it will be used in Shakespeare's plays?,Yes and did get used so that is good. Nice chat
106,Yes and did get used so that is good. Nice chat,"hi, do you use google much?"
107,"hi, do you use google much?","Yes, I think it is the most effective search engine. How about you? Do you use gmail?"
108,"Yes, I think it is the most effective search engine. How about you? Do you use gmail?",Yes. a google search takes more computing power than sending astronauts tot he moon
109,Yes. a google search takes more computing power than sending astronauts tot he moon,And before on Google moon they used to use cheese for close ups!
110,And before on Google moon they used to use cheese for close ups!,do you know how google maps calculates traffic?
111,do you know how google maps calculates traffic?,"I am not sure, how do they do this?"
112,"I am not sure, how do they do this?",they track how fast android devices are moving
113,they track how fast android devices are moving,Interesting! Google really is taking over the world. Their data center electricity use is 0.01 percent of all worldwide electricity.
114,Interesting! Google really is taking over the world. Their data center electricity use is 0.01 percent of all worldwide electricity.,Yes for sure they are. they have grown so much over the years
115,Yes for sure they are. they have grown so much over the years,But I like that they like to have fun too. Have you ever typed askew into Google?
116,But I like that they like to have fun too. Have you ever typed askew into Google?,No I have. What does the results turn?
